CVE_ID,PublishTime,ModifyTime,Report,CVSSV3,AttackVector,AttackComplexity,PrivilegesRequired,UserInteraction,Scope,ConfidentialityImpact,IntegrityImpact,AvailabilityImpact
CVE-2009-1603,2009-05-11T16:30Z,2024-11-21T01:02Z,"src/tools/pkcs11-tool.c in pkcs11-tool in OpenSC 0.11.7, when used with unspecified third-party PKCS#11 modules, generates RSA keys with incorrect public exponents, which allows attackers to read the cleartext form of messages that were intended to be encrypted.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-1699,2009-06-10T18:00Z,2024-11-21T01:03Z,"The XSL stylesheet implementation in WebKit in Apple Safari before 4.0, iPhone OS 1.0 through 2.2.1, and iPhone OS for iPod touch 1.1 through 2.2.1 does not properly handle XML external entities, which allows remote attackers to read arbitrary files via a crafted DTD, as demonstrated by a file:///etc/passwd URL in an entity declaration, related to an ""XXE attack.""",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-1837,2009-06-12T21:30Z,2024-11-21T01:03Z,"Race condition in the NPObjWrapper_NewResolve function in modules/plugin/base/src/nsJSNPRuntime.cpp in xul.dll in Mozilla Firefox 3 before 3.0.11 might allow remote attackers to execute arbitrary code via a page transition during Java applet loading, related to a use-after-free vulnerability for memory associated with a destroyed Java object.",7.5,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-1862,2009-07-23T20:30Z,2024-12-19T18:05Z,"Unspecified vulnerability in Adobe Reader and Acrobat 9.x through 9.1.2, and Adobe Flash Player 9.x through 9.0.159.0 and 10.x through 10.0.22.87, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via (1) a crafted Flash application in a .pdf file or (2) a crafted .swf file, related to authplay.dll, as exploited in the wild in July 2009.",7.8,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-1936,2009-06-05T18:30Z,2024-11-21T01:03Z,"_functions.php in cpCommerce 1.2.x, possibly including 1.2.9, sends a redirect but does not exit when it is called directly, which allows remote attackers to bypass a protection mechanism to conduct remote file inclusion and directory traversal attacks, execute arbitrary PHP code, or read arbitrary files via the GLOBALS[prefix] parameter, a different vector than CVE-2003-1500.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-1955,2009-06-08T01:00Z,2024-11-21T01:03Z,"The expat XML parser in the apr_xml_* interface in xml/apr_xml.c in Apache APR-util before 1.3.7, as used in the mod_dav and mod_dav_svn modules in the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via a crafted XML document containing a large number of nested entity references, as demonstrated by a PROPFIND request, a similar issue to CVE-2003-1564.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-1961,2009-06-08T01:00Z,2024-11-21T01:03Z,"The inode double locking code in fs/ocfs2/file.c in the Linux kernel 2.6.30 before 2.6.30-rc3, 2.6.27 before 2.6.27.24, 2.6.29 before 2.6.29.4, and possibly other versions down to 2.6.19 allows local users to cause a denial of service (prevention of file creation and removal) via a series of splice system calls that trigger a deadlock between the generic_file_splice_write, splice_from_pipe, and ocfs2_file_splice_write functions.",4.7,LOCAL,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-20001,2021-03-07T20:15Z,2024-11-21T01:03Z,"An issue was discovered in MantisBT before 2.24.5. It associates a unique cookie string with each user. This string is not reset upon logout (i.e., the user session is still considered valid and active), allowing an attacker who somehow gained access to a user's cookie to login as them.",8.1,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2009-2158,2009-06-22T19:30Z,2024-11-21T01:04Z,"account-recover.php in TorrentTrader Classic 1.09 chooses random passwords from an insufficiently large set, which makes it easier for remote attackers to obtain a password via a brute-force attack.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-2168,2009-06-22T20:30Z,2024-11-21T01:04Z,"cpanel/login.php in EgyPlus 7ammel (aka 7ml) 1.0.1 and earlier sends a redirect to the web browser but does not exit when the supplied credentials are incorrect, which allows remote attackers to bypass authentication by providing arbitrary username and password parameters.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2197,2016-03-24T01:59Z,2024-11-21T01:04Z,"Apple Safari before 9.1 allows remote attackers to spoof the user interface via a web page that places text in a crafted context, leading to unintended use of that text within a Safari dialog.",4.3,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,LOW,NONE
CVE-2009-2213,2009-06-25T23:14Z,2024-11-21T01:04Z,"The default configuration of the Security global settings on the Citrix NetScaler Access Gateway appliance with Enterprise Edition firmware 9.0, 8.1, and earlier specifies Allow for the Default Authorization Action option, which might allow remote authenticated users to bypass intended access restrictions.",6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-2272,2009-07-01T13:00Z,2024-11-21T01:04Z,"The Huawei D100 stores the administrator's account name and password in cleartext in a cookie, which allows context-dependent attackers to obtain sensitive information by (1) reading a cookie file, by (2) sniffing the network for HTTP headers, and possibly by using unspecified other vectors.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-2367,2009-07-08T15:30Z,2024-11-21T01:04Z,"cgi-bin/makecgi-pro in Iomega StorCenter Pro generates predictable session IDs, which allows remote attackers to hijack active sessions and gain privileges via brute force guessing attacks on the session_id parameter.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2382,2009-07-08T15:30Z,2024-11-21T01:04Z,admin.php in phpMyBlockchecker 1.0.0055 allows remote attackers to bypass authentication and gain administrative access by setting the PHPMYBCAdmin cookie to LOGGEDIN.,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2408,2009-07-30T19:30Z,2024-11-21T01:04Z,"Mozilla Network Security Services (NSS) before 3.12.3, Firefox before 3.0.13, Thunderbird before 2.0.0.23, and SeaMonkey before 1.1.18 do not properly handle a '\0' character in a domain name in the subject's Common Name (CN) field of an X.509 certificate, which allows man-in-the-middle attackers to spoof arbitrary SSL servers via a crafted certificate issued by a legitimate Certification Authority. NOTE: this was originally reported for Firefox before 3.5.",5.9,NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-2416,2009-08-11T18:30Z,2024-11-21T01:04Z,"Multiple use-after-free vulnerabilities in libxml2 2.5.10, 2.6.16, 2.6.26, 2.6.27, and 2.6.32, and libxml 1.8.17, allow context-dependent attackers to cause a denial of service (application crash) via crafted (1) Notation or (2) Enumeration attribute types in an XML file, as demonstrated by the Codenomicon XML fuzzing framework.",6.5,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH
CVE-2009-2422,2009-07-10T15:30Z,2024-11-21T01:04Z,"The example code for the digest authentication functionality (http_authentication.rb) in Ruby on Rails before 2.3.3 defines an authenticate_or_request_with_http_digest block that returns nil instead of false when the user does not exist, which allows context-dependent attackers to bypass authentication for applications that are derived from this example by sending an invalid username without a password.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2692,2009-08-14T15:16Z,2024-11-21T01:05Z,"The Linux kernel 2.6.0 through 2.6.30.4, and 2.4.4 through 2.4.37.4, does not initialize all function pointers for socket operations in proto_ops structures, which allows local users to trigger a NULL pointer dereference and gain privileges by using mmap to map page zero, placing arbitrary code on this page, and then invoking an unavailable operation, as demonstrated by the sendpage operation (sock_sendpage function) on a PF_PPPOX socket.",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2698,2009-08-27T17:30Z,2024-11-21T01:05Z,The udp_sendmsg function in the UDP implementation in (1) net/ipv4/udp.c and (2) net/ipv6/udp.c in the Linux kernel before 2.6.19 allows local users to gain privileges or cause a denial of service (NULL pointer dereference and system crash) via vectors involving the MSG_MORE flag and a UDP socket.,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2699,2009-10-13T10:30Z,2024-11-21T01:05Z,"The Solaris pollset feature in the Event Port backend in poll/unix/port.c in the Apache Portable Runtime (APR) library before 1.3.9, as used in the Apache HTTP Server before 2.2.14 and other products, does not properly handle errors, which allows remote attackers to cause a denial of service (daemon hang) via unspecified HTTP requests, related to the prefork and event MPMs.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-2768,2009-08-14T15:16Z,2024-11-21T01:05Z,"The load_flat_shared_library function in fs/binfmt_flat.c in the flat subsystem in the Linux kernel before 2.6.31-rc6 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact by executing a shared flat binary, which triggers an access of an ""uninitialized cred pointer.""",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-2802,2019-11-09T03:15Z,2024-11-21T01:05Z,MantisBT 1.2.x before 1.2.2 insecurely handles attachments and MIME types. Arbitrary inline attachment rendering could lead to cross-domain scripting or other browser attacks.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-2857,2009-08-19T17:30Z,2024-11-21T01:05Z,"The kernel in Sun Solaris 8, 9, and 10, and OpenSolaris before snv_103, does not properly handle interaction between the filesystem and virtual-memory implementations, which allows local users to cause a denial of service (deadlock and system halt) via vectors involving mmap and write operations on the same file.",5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-3022,2009-08-31T20:30Z,2024-11-21T01:06Z,Cross-site request forgery (CSRF) vulnerability in bingo!CMS 1.2 and earlier allows remote attackers to hijack the authentication of other users for requests that modify configuration or change content via unspecified vectors.,6.5,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,HIGH,NONE
CVE-2009-3046,2009-09-02T17:30Z,2024-11-21T01:06Z,"Opera before 10.00 does not check all intermediate X.509 certificates for revocation, which makes it easier for remote SSL servers to bypass validation of the certificate chain via a revoked certificate.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-3129,2009-11-11T19:30Z,2024-12-19T18:06Z,"Microsoft Office Excel 2002 SP3, 2003 SP3, and 2007 SP1 and SP2; Office 2004 and 2008 for Mac; Open XML File Format Converter for Mac; Office Excel Viewer 2003 SP3; Office Excel Viewer SP1 and SP2; and Office Compatibility Pack for Word, Excel, and PowerPoint 2007 File Formats SP1 and SP2 allows remote attackers to execute arbitrary code via a spreadsheet with a FEATHEADER record containing an invalid cbHdrData size element that affects a pointer offset, aka ""Excel Featheader Record Memory Corruption Vulnerability.""",7.8,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3238,2009-09-18T10:30Z,2024-11-21T01:06Z,"The get_random_int function in drivers/char/random.c in the Linux kernel before 2.6.30 produces insufficiently random numbers, which allows attackers to predict the return value, and possibly defeat protection mechanisms based on randomization, via vectors that leverage the function's tendency to ""return the same value over and over again for long stretches of time.""",5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-3278,2009-09-21T19:30Z,2024-11-21T01:06Z,"The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 use the rand library function to generate a certain recovery key, which makes it easier for local users to determine this key via a brute-force attack.",5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-3289,2009-09-22T10:30Z,2024-11-21T01:06Z,"The g_file_copy function in glib 2.0 sets the permissions of a target file to the permissions of a symbolic link (777), which allows user-assisted local users to modify files of other users, as demonstrated by using Nautilus to modify the permissions of the user home directory.",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3421,2009-09-25T22:30Z,2024-11-21T01:07Z,"login.php in Zenas PaoBacheca Guestbook 2.1, when register_globals is enabled, allows remote attackers to bypass authentication and gain administrative access by setting the login_ok parameter to 1.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3482,2009-09-30T15:30Z,2024-11-21T01:07Z,"TrustPort Antivirus before 2.8.0.2266 and PC Security before 2.0.0.1291 use weak permissions (Everyone: Full Control) for files under %PROGRAMFILES%, which allows local users to gain privileges by replacing executables with Trojan horse programs.",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
